# Data into the Tables.

I)	mysql> desc branch_master;
	+-----------+--------------+------+-----+---------+-------+
	| Field     | Type         | Null | Key | Default | Extra |
	+-----------+--------------+------+-----+---------+-------+
	| branch_id | varchar(30)  | NO   | PRI | NULL    |       |
	| bname     | varchar(100) | YES  |     | NULL    |       |
	+-----------+--------------+------+-----+---------+-------+
	2 rows in set (0.01 sec)
	
	mysql> select *from branch_master;
	+-----------+----------+
	| branch_id | bname    |
	+-----------+----------+
	| B1        | Satana   |
	| B2        | Vadgoan  |
	| B3        | Aundh    |
	| B4        | Malegaon |
	| B5        | Shahpur  |
	+-----------+----------+
	5 rows in set (0.02 sec)
	
II)	mysql> desc employee_master;
	+-----------+--------------+------+-----+---------+-------+
	| Field     | Type         | Null | Key | Default | Extra |
	+-----------+--------------+------+-----+---------+-------+
	| emp_no    | varchar(30)  | NO   | PRI | NULL    |       |
	| ename     | varchar(100) | YES  |     | NULL    |       |
	| branch_id | varchar(30)  | YES  | MUL | NULL    |       |
	| salary    | int          | YES  |     | NULL    |       |
	| dept      | varchar(80)  | YES  |     | NULL    |       |
	| manger_id | varchar(30)  | YES  | MUL | NULL    |       |
	+-----------+--------------+------+-----+---------+-------+
	6 rows in set (0.00 sec)	
	mysql> select * from employee_master;
	+--------+----------+-----------+--------+------------+-----------+
	| emp_no | ename    | branch_id | salary | dept       | manger_id |
	+--------+----------+-----------+--------+------------+-----------+
	| E1     | Aniket   | B1        |  10000 | Loan       | E3        |
	| E10    | Manav    | B5        |  12000 | Admin      | E2        |
	| E2     | Ravindra | B1        | 150000 | Admin      | NULL      |
	| E3     | Pawan    | B1        |  15000 | Admin      | E2        |
	| E4     | Prajyot  | B2        |  15000 | Admin      | E2        |
	| E5     | Abhay    | B2        |  10000 | NULL       | E4        |
	| E6     | Shubham  | B3        |  15000 | Admin      | E2        |
	| E7     | Nirmala  | B3        |  10000 | Investment | E6        |
	| E8     | Abhishek | B4        |  12000 | Admin      | E2        |
	| E9     | Abhinav  | B4        |  10000 | Loan       | E8        |
